"window","newsExclusive","common","blogsExclusive"
"2015-07-02..2015-07-07",1,0,0.999808273715534
"2015-07-03..2015-07-08",1,0,0.999474014093122
"2015-07-04..2015-07-09",1,0,0.99930142526724
"2015-07-05..2015-07-10",1,0,0.999500386485903
"2015-07-06..2015-07-11",1,0,0.999444735301291
"2015-07-07..2015-07-12",1,0,0.999410154425984
"2015-07-08..2015-07-13",1,0,0.999578441876444
"2015-07-09..2015-07-14",1,0,0.999610908163347
"2015-07-10..2015-07-15",1,0,0.997220967286389
"2015-07-11..2015-07-16",1,0,0.986370326357712
"2015-07-12..2015-07-17",0.988429331474912,0,0.987714416445933
"2015-07-13..2015-07-18",0.980959194502709,0,0.987950516831229
"2015-07-14..2015-07-19",0.980959194502709,0,0.992579426536628
"2015-07-15..2015-07-20",0.980959194502709,0,0.994771677659993
"2015-07-16..2015-07-21",0.988503314542578,0,0.997346419423589
"2015-07-17..2015-07-22",0.990446525047722,0,0.998702922981211
"2015-07-18..2015-07-23",1,0,0.997897702323237
"2015-07-19..2015-07-24",0.998553011322796,0,0.997951576841943
"2015-07-20..2015-07-25",0.998171768655735,0,0.998101867019083
"2015-07-21..2015-07-26",0.997916813339041,0,0.999445757257096
"2015-07-22..2015-07-27",0.999163462306394,0,0.999445757257096
"2015-07-23..2015-07-28",0.999163462306394,0,0.999445757257096
"2015-07-24..2015-07-29",0.999639236185042,0,0.99937814983856
"2015-07-25..2015-07-30",0.998587471898249,0,0.999964530175276
"2015-07-26..2015-07-31",0.998587471898249,0,0.999967791950359
"2015-07-27..2015-08-01",0.998898949226393,0,0.999798831574138
"2015-07-28..2015-08-02",0.998898949226393,0,0.997433747456821
"2015-07-29..2015-08-03",0.999757868353208,0,0.997004069934805
"2015-07-30..2015-08-04",1,0,0.993568319070224
"2015-07-31..2015-08-05",0.998203657504575,0,0.987905167103792
"2015-08-01..2015-08-06",0.998699887325985,0,0.984709117135246
"2015-08-02..2015-08-07",0.996492176524981,0.551966758527878,0.964698654521396
"2015-08-03..2015-08-08",0.996665851733541,0,0.976100988652105
"2015-08-04..2015-08-09",0.996665851733541,0,0.994412032059887
"2015-08-05..2015-08-10",0.997281099662537,0,0.990704444212557
"2015-08-06..2015-08-11",0.999128626454392,0,0.993090792633855
"2015-08-07..2015-08-12",0.998775874029675,0,0.991015944274339
"2015-08-08..2015-08-13",0.999024177422148,0.813508370200568,0.998085403723395
"2015-08-09..2015-08-14",0.988775518433282,0.813508370200568,0.997105928828104
"2015-08-10..2015-08-15",0.988217274063301,0.733753746832912,0.994355969979235
"2015-08-11..2015-08-16",0.988217274063301,0.733753746832912,0.997056654291748
"2015-08-12..2015-08-17",0.976161483145279,0,0.995101496683185
"2015-08-13..2015-08-18",0.987490411163919,0,0.997439280871033
"2015-08-14..2015-08-19",0.983130624399487,0,0.993773910544509
"2015-08-15..2015-08-20",0.993410009955068,0,0.994960588752202
"2015-08-16..2015-08-21",0.994987250339717,0,0.992099669704841
"2015-08-17..2015-08-22",0.994987250339717,0,0.989663002814775
"2015-08-18..2015-08-23",0.995999400608052,0,0.993684812941403
"2015-08-19..2015-08-24",0.993848296887329,1.85037170770859e-17,0.995015957553448
"2015-08-20..2015-08-25",0.994731321861164,1.85037170770859e-17,0.996921661381441
"2015-08-21..2015-08-26",0.993129408450875,7.40148683083438e-18,0.996830955399239
"2015-08-22..2015-08-27",0.994131783820569,3.96508223080413e-18,0.99660852672314
"2015-08-23..2015-08-28",0.995000004745745,0.507479222571132,0.99809619208333
"2015-08-24..2015-08-29",0.996365648962084,0.532487303028005,0.998612749931134
"2015-08-25..2015-08-30",0.995836799779643,0.551966758527878,0.995977799925378
"2015-08-26..2015-08-31",0.99676175700925,0.547129657165561,0.99691571692896
"2015-08-27..2015-09-01",0.999262108425434,0.775695585601018,0.992752658856458
"2015-08-28..2015-09-02",0.993643120278106,0.787117757621987,0.9825736842212
"2015-08-29..2015-09-03",0.967540641871312,0.603463747920145,0.936236911486473
"2015-08-30..2015-09-04",0.8435341089146,0.538611313883139,0.917871165251381
"2015-08-31..2015-09-05",0.811500503961129,0.52033269324715,0.882134389921954
"2015-09-01..2015-09-06",0.728824814623093,0.568704321758042,0.836677076420167
"2015-09-02..2015-09-07",0.742486775446725,0.573571749921391,0.843831717569519
"2015-09-03..2015-09-08",0.754274810794738,0.558527284256386,0.871382917328618
"2015-09-04..2015-09-09",0.751986333874282,0.560080739760648,0.905811806481047
"2015-09-05..2015-09-10",0.763512317545993,0.481032700034839,0.884082653309536
"2015-09-06..2015-09-11",0.724583823526374,0.476358065799113,0.893656807042984
"2015-09-07..2015-09-12",0.761476906396583,0.672017305912136,0.903908160800103
"2015-09-08..2015-09-13",0.805620304573944,0.668901187844189,0.883362680750726
"2015-09-09..2015-09-14",0.778828569511063,0.616499396853169,0.818126869901513
"2015-09-10..2015-09-15",0.76971879725662,0.595488645973652,0.817847708945797
"2015-09-11..2015-09-16",0.785131925158042,0.592173152532657,0.832256837680861
"2015-09-12..2015-09-17",0.78003228948307,0.592481473780484,0.789220439205574
"2015-09-13..2015-09-18",0.724668805281847,0.487818172504072,0.771773802457806
"2015-09-14..2015-09-19",0.761470264407524,0.50216977664733,0.792120306896401
"2015-09-15..2015-09-20",0.806826480648532,0.507581601235987,0.811100565851624
"2015-09-16..2015-09-21",0.828345808075096,0.507742769477471,0.818035197046072
"2015-09-17..2015-09-22",0.82779644326032,0.537713048313123,0.846549763107444
"2015-09-18..2015-09-23",0.839762590989731,0.574569364105966,0.862025150698737
"2015-09-19..2015-09-24",0.848074372728604,0.526944601958088,0.858682735099935
"2015-09-20..2015-09-25",0.80538778494954,0.480087169530693,0.900736313447208
"2015-09-21..2015-09-26",0.805591185168167,0.484486718626009,0.876128597917415
"2015-09-22..2015-09-27",0.846543287437889,0.493947987656777,0.875899425459747
"2015-09-23..2015-09-28",0.854668588717834,0.418179790751623,0.874723822913753
"2015-09-24..2015-09-29",0.860632176801054,0.512789400234056,0.854231264109888
"2015-09-25..2015-09-30",0.873749173317994,0.514146646068838,0.828432407051883
"2015-09-26..2015-10-01",0.856181871666328,0.560526093819241,0.826197866993362
"2015-09-27..2015-10-02",0.82502012470685,0.544841933339075,0.798154733515294
"2015-09-28..2015-10-03",0.700359231656904,0.469032538914972,0.703067462643794
"2015-09-29..2015-10-04",0.731204486502215,0.509992479785757,0.710181451528466
"2015-09-30..2015-10-05",0,0.551966758527878,0
